antwann_jones,unc_greensboro,sc,6,86,747,189,375,3835,75,181,64,258,1,2,05,3,10,03,21,61,0333,22,23,125,sr,6-6,0,-0673247,7331,41,2026,65925,"orlando,_fl",790,050005835,24,5,11,51,04000,02000,01,02,unnamed:_44,unnamed:_45,115978,115364,0671435,109915,-836032,-674231,-161801,-899655,114857,-535942,-363713,05714,15714,21429,04286,02857,01429,34286,wing_f,580649,1999-05-29
Liam McChesney,Creighton,BE,4,1.1,44.9,35.7,25.0,25.0,13.9,12.4,0.0,38.8,0,0,0.0,1,2,0.5,0,2,0.0,10.8,6.9,0.0,Jr,6-10,13,-0.351883,45.7309,4.7,2026,71840,"Prince Rupert, Canada",65.6,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,90.4606,85.1461,0.370942,2.56729,-13.3604,-18.3033,4.94287,-19.2217,2.125,-18.0242,-1.19754,0.25,0.25,0.5,0.0,0.25,0.25,0.5,PF/C,13.9892,2001-09-26
Tariq Ingraham,Memphis,Amer,14,20.2,105.0,19.8,47.4,53.13,10.3,12.6,4.1,16.4,17,25,0.68,18,36,0.5,0,2,0.0,2.6,0.0,65.8,Sr,6-9,19,0.518315,108.719,5.2,2026,71940,"Philadelphia, PA",8.8,0.37504377,15.0,29.0,3.0,7.0,0.5172,0.4286,4.0,5.0,0.8,,108.428,103.38,1.08885,19.212,-3.95806,-3.07134,-0.886723,-1.53413,9.8714,-1.50587,-0.0282603,0.9286,1.1429,2.0714,0.2143,0.0,0.2143,3.7857,C,0.810933,2000-10-03
Josh Ogundele,Hampton,CAA,13,33.8,105.8,19.4,55.2,58.29,9.7,9.4,9.5,21.7,24,38,0.632,25,45,0.556,1,3,0.333,2.6,2.9,79.2,Sr,7-0,23,0.591317,103.1,4.9,2026,72241,"London, United Kingdom",17.8,0.55557284,23.0,39.0,2.0,6.0,0.5897,0.3333,1.0,2.0,0.5,,104.756,110.758,1.51335,40.1369,-0.164777,-1.3128,1.14803,-1.05625,17.2714,-1.24176,0.185507,1.6429,1.5714,3.2143,0.7143,0.8571,0.5,5.7857,Wing F,0.787274,2000-12-19
Jahari Long,George Mason,A10,18,80.7,114.0,17.8,53.8,58.41,1.1,10.1,22.0,18.5,44,57,0.772,37,75,0.493,23,58,0.397,0.4,0.7,42.9,Sr,6-5,2,1.69125,108.544,2.5,2026,72254,"Houston, TX",52.4,2.11763062,27.0,44.0,10.0,31.0,0.6136,0.3226,0.0,0.0,,,106.319,106.297,3.2671,85.1813,0.285579,0.76169,-0.476111,0.463354,32.3105,0.595067,-0.131713,0.2632,3.0,3.2632,3.7895,0.4211,0.1579,11.1579,Scoring PG,5.95933,2001-10-15
Javon Cooley,Pepperdine,WCC,18,74.4,108.8,19.9,51.2,58.01,3.0,16.7,7.0,14.9,57,63,0.905,48,85,0.565,24,79,0.304,0.4,1.6,38.4,Sr,6-5,23,1.71462,110.053,2.8,2026,72291,"Chicago, IL",,0.64516131,35.0,47.0,13.0,38.0,0.7447,0.3421,3.0,3.0,1.0,,109.804,107.88,2.84778,94.185,-1.67886,-1.24303,-0.435828,-0.32534,29.775,-0.0780797,-0.24726,0.75,4.15,4.9,1.0,0.85,0.15,12.3,Wing G,8.67469,2001-10-15
Toneari Lane,San Diego,WCC,18,62.3,116.5,16.3,54.9,57.1,3.1,6.5,7.1,7.0,15,16,0.938,23,44,0.523,37,99,0.374,1.0,1.7,11.2,Sr,6-5,1,1.61957,112.196,1.9,2026,72294,"Atlanta, GA",39.4,1.41666665,13.0,22.0,10.0,22.0,0.5909,0.4545,0.0,0.0,,,115.907,114.469,1.813,60.6025,0.417516,1.84816,-1.43065,1.38746,24.455,2.9532,-1.56574,0.65,1.35,2.0,0.85,0.8,0.2,10.2,Wing G,12.6374,2001-10-15
Trae Broadnax,Rice,Amer,16,74.3,107.3,26.3,47.2,52.6,3.0,15.7,21.8,15.3,58,74,0.784,58,127,0.457,22,66,0.333,1.6,2.8,38.3,Sr,6-4,12,2.32727,116.012,4.0,2026,72299,"Savannah, GA",,1.48575402,26.0,52.0,32.0,75.0,0.5,0.4267,0.0,0.0,,,110.639,110.653,2.55821,88.6229,2.05073,2.20263,-0.1519,2.87417,29.0389,2.8311,0.0430667,0.8889,3.9444,4.8333,2.8889,1.3889,0.3889,14.8333,Combo G,8.0626,2001-10-15
Jeremiah Williams,Georgetown,BE,18,47.0,97.3,18.2,40.1,45.07,3.9,9.1,23.2,18.8,23,35,0.657,25,66,0.379,5,15,0.333,2.4,3.2,43.2,Sr,6-4,25,0.246561,97.233,3.7,2026,72301,"Chicago, IL",1.4,2.19998215,15.0,33.0,10.0,33.0,0.4545,0.303,1.0,2.0,0.5,,106.624,106.067,1.9161,62.0145,-0.0691289,-1.2484,1.17927,-0.211326,19.1833,-1.33634,1.12501,0.6667,1.5556,2.2222,2.4444,1.0556,0.3889,4.8889,Scoring PG,2.55936,2001-10-15
Keishon Porter,Evansville,MVC,14,44.3,84.1,21.9,38.5,43.38,3.6,10.4,13.2,17.3,25,37,0.676,31,70,0.443,5,30,0.167,1.1,1.4,37.0,Sr,6-5,1,-0.427563,88.0846,4.2,2026,72323,"Pinetops, NC",,0.86956522,19.0,34.0,12.0,36.0,0.5588,0.3333,5.0,7.0,0.7143,,112.85,110.603,1.9795,50.0644,-5.6851,-4.69896,-0.986139,-5.89718,22.0313,-4.61312,-1.28407,0.8125,2.0625,2.875,1.25,0.5,0.1875,6.875,Wing G,5.41635,2001-10-15
Alec Oglesby,Middle Tennessee,CUSA,15,64.0,115.5,14.4,62.0,61.61,1.8,5.4,5.4,13.8,11,20,0.55,7,22,0.318,35,74,0.473,0.3,2.3,20.8,Sr,6-5,0,1.47298,110.025,2.9,2026,72343,"Gainesville, FL",,1.07152398,6.0,12.0,1.0,10.0,0.5,0.1,0.0,0.0,,,110.238,107.584,2.47525,55.7031,2.71527,2.0855,0.629771,1.54542,25.7882,1.12109,0.424333,0.4706,1.3529,1.8235,0.8824,1.0588,0.0588,9.0,Combo G,11.3169,2001-09-13
