rk,team,conf,rec,adjoe,oe_rank,adjde,de_rank,barthag,rank1,proj_w,proj_l,pro_con_w,pro_con_l,con_rec,sos,ncsos,consos,proj_sos,proj_noncon_sos,proj_con_sos,elite_sos,elite_noncon_sos,opp_oe,opp_de,opp_proj_oe,opp_proj_de,con_adj_oe,con_adj_de,qual_o,qual_d,qual_barthag,qual_games,fun,conpf,conpa,conposs,conoe,conde,consosremain,conf_winpct,wab,wab_rk,fun_rk,adjt,team_key
290,Arkansas Pine Bluff,SWAC,12-16,105.85622723423155,248,116.95288471023196,311,0.2411422522358832,290,13.997018977586592,17.002981022413408,10.997018977586592,7.002981022413409,9-6,0.4092898839673675,0.640429690135331,0.2089687186217992,0.3817893046346199,0.640429690135331,0.1949934706618842,0.8470980408514165,0.6786224678728542,108.3187353055954,110.69738891127632,107.27435921410402,111.59655167252878,106.28165521232737,117.65594550393412,101.45012935839588,116.90336050308991,0.1637655553496521,5.0,0.0209980520273829,1136.0,1133.0,1033.9,1.098752297127382,1.0958506625398976,0.1251172308623094,0.6,-10.011972399307632,243,129,69.19003857025805,arkansas pine bluff
291,Chattanooga,SC,12-17,105.32012658955432,253,116.40467039447005,304,0.2403460212735925,291,13.547500028295005,17.452499971705,7.547500028295002,10.452499971704995,6-10,0.3321599983977787,0.3196049596244585,0.3423609674011012,0.3181911835601196,0.3196049596244585,0.3171701230692079,0.9122169055745551,0.8765165629197588,108.61345104756964,114.51072962400212,108.19883529515832,115.22418884403358,104.53432582870568,115.81656581959244,114.53870628222006,114.31151792845628,0.5057079983929355,2.0,-0.044359255379238,1193.0,1229.0,1086.0,1.098526703499079,1.1316758747697977,0.115643368414062,0.375,-13.299281627429728,304,277,66.60296179316934,chattanooga
292,Mount St. Mary's,MAAC,13-15,100.21705370392652,332,110.7914855195051,198,0.2398352634362534,292,14.456129696055706,16.543870303944296,10.456129696055706,9.543870303944296,9-8,0.3588445223126854,0.4461301954981765,0.3023655573103086,0.3485224711325337,0.4461301954981765,0.2948382227314302,0.8936587939319841,0.8053116339295895,105.20486081567876,111.26911355541144,105.14003497573596,111.7672830737551,98.9257989324956,109.80735267198509,95.59098398595712,101.87214028935766,0.3247867097540847,3.0,0.0326302966000776,1159.0,1173.0,1139.1125,1.0174587672420417,1.0297490370793052,0.2521833267844524,0.5294117647058824,-10.787152727477109,255,108,68.05893613464482,mount st marys
293,Sacred Heart,MAAC,12-17,107.668914373132,214,119.16400269882035,338,0.237477744333701,293,12.802535389832563,18.19746461016744,8.802535389832563,11.197464610167438,8-10,0.333647444520836,0.4066482152733233,0.2890358623943161,0.3358977832102284,0.4066482152733233,0.2969850455755262,0.912435151208342,0.8583773740276471,105.36411090081177,112.51996517571888,105.06915102734185,112.1355131167537,109.30853426641087,121.24961552388588,103.26644725255385,125.3489818144392,0.0972135743574947,1.0,-0.0212416291873174,1373.0,1396.0,1222.3000000000002,1.1232921541356458,1.1421091385093671,0.3685276942064169,0.4444444444444444,-13.45097265134276,307,227,68.59532207510844,sacred heart
294,Western Michigan,MAC,9-18,107.9634258946549,207,119.584482054911,339,0.2358349717736485,294,11.10092276749748,19.89907723250252,4.10092276749748,13.89907723250252,3-11,0.4281040153622751,0.376370926351953,0.4761418837290027,0.4397957686532028,0.376370926351953,0.4856025992041056,0.8629086028848675,0.8517230029230036,109.0818273324868,110.05707391966178,109.06050760509362,109.85860054512354,108.09722245599797,120.69881420438496,112.47998226491065,125.68789193735503,0.2180945862971759,3.0,-0.0278645155254634,1041.0,1148.0,952.125,1.0933438361559669,1.2057240383353025,0.5187151033669657,0.2142857142857142,-13.08224962447944,300,242,67.55256467048173,western michigan
295,Northwestern St.,Slnd,9-19,103.49286400996216,280,114.70211034230378,280,0.2345830148526203,295,9.882973548544385,21.11702645145561,7.882973548544386,14.117026451455615,7-12,0.4372953117973308,0.4761361510543833,0.418897019517674,0.4404982438928335,0.4761361510543835,0.4259191000540174,0.860342069382481,0.7822437372249237,108.30480338032864,109.24654627384795,108.3093915478688,109.33782204485745,101.48180557781664,112.26749468337238,108.3264715558014,108.22753615158209,0.5026269353568775,4.0,-0.0331678639722189,1277.0,1344.0,1242.3125,1.027921718569201,1.081853398400161,0.4703922767841917,0.3684210526315789,-13.72376959967945,318,254,65.11364033297306,northwestern st
296,Southeastern Louisiana,Slnd,8-20,99.34713782979392,337,110.13283142862647,185,0.2341057955217489,296,8.824763102286237,22.17523689771376,5.82476310228624,16.175236897713763,5-14,0.4496199633545147,0.5026189746024587,0.424515168552857,0.448217483308696,0.5026189746024591,0.4259623277794292,0.8690857238047514,0.8123823008443374,108.37876075170952,110.13241117501008,108.28415784996852,110.10670250658426,98.7294205949409,110.11219235741434,104.52619642521316,125.86395433394628,0.1056198543573453,2.0,-0.0489548640156516,1230.0,1348.0,1237.5875,0.9938691203652268,1.0892159140262812,0.4351276695477205,0.2631578947368421,-14.775336157720805,332,291,64.98604745306065,southeastern louisiana
297,Cleveland St.,Horz,10-18,112.22561782349374,122,124.45164850722249,362,0.2334076228712716,297,11.138074063652969,19.861925936347035,7.138074063652967,12.861925936347031,6-11,0.4242000529773187,0.4153806444372322,0.4299067290914921,0.4204445612892202,0.4153806444372321,0.4232297155578134,0.8899906996038179,0.8545810883857026,110.88868100447122,111.7705584346272,110.58477215031624,111.8843812339912,111.86976847027027,123.00743345244874,93.32080206036696,121.81731954417045,0.044594971893902,2.0,0.0065197140207433,1360.0,1466.0,1180.8749999999998,1.1516883666772522,1.2414523129035675,0.3853933055336346,0.3529411764705882,-13.519534439355471,312,163,69.06575312646859,cleveland st
298,Georgia St.,SB,10-19,100.23066901859814,328,111.21337348253763,208,0.2322359054593923,298,10.976749716298611,20.02325028370139,7.976749716298611,10.023250283701389,7-9,0.4006080775932174,0.4028144915420245,0.3988153662598113,0.3940826112382098,0.4028144915420244,0.38777625324101,0.9000637186367999,0.865485783845896,108.23217553100812,111.04328018693974,107.86243685394628,111.02453135925704,102.20202795937324,110.4628514540689,98.82718809001396,93.6326485332749,0.6504292620872961,2.0,-0.0144194401390975,1132.0,1161.0,1078.3375,1.049764104466366,1.0766573544924478,0.2994633490905997,0.4375,-14.75028974604002,330,213,67.48716291484017,georgia st
299,USC Upstate,BSth,12-17,101.05802185235684,321,112.34941438636262,239,0.2282766172586567,299,13.146895578026752,17.85310442197325,5.1468955780267525,10.853104421973248,4-10,0.3702569539531616,0.3752050325969625,0.3649554411205176,0.3610104377713687,0.3752050325969625,0.3477030051223745,0.8813700870543878,0.8368097620929548,107.48464993985584,111.2514656561776,107.09657950715408,111.81756910555,98.93362469824574,112.94992894327176,108.57947522640582,96.68813672923297,0.7914857249054843,2.0,-0.0155010427191282,1002.0,1102.0,995.3000000000002,1.0067316387018987,1.107203858133226,0.2269359531353725,0.2857142857142857,-12.308045548214398,288,214,67.89524662154547,usc upstate
